,time,likes,no:rt,clean_tweet,sentiment,polarity,subjectivity
3058,"2021-04-15, 16:00",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3059,"2021-04-15, 16:01",0,270,RT Mofi will now be traded on Hotbit Hotbit listing announcement Trading function launches at 2,neutral,0.0,0.0
3060,"2021-04-15, 16:01",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3061,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3062,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3063,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3064,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3065,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3066,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3067,"2021-04-15, 16:02",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3068,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3069,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3070,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3071,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3072,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3073,"2021-04-15, 16:03",1,0,The Next JUMP is Precious Metals The Entire World Markets are up Bitcoin Now the next target is GOLD and SILVE,positive,0.125,0.40625
3074,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3075,"2021-04-15, 16:03",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3076,"2021-04-15, 16:04",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3077,"2021-04-15, 16:04",1,0,Crypto prices 12 00 PM 4 15 21 Bitcoin BTC BTC Ethereum ETH Tether USDT,neutral,0.0,0.0
3078,"2021-04-15, 16:04",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3079,"2021-04-15, 16:04",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3080,"2021-04-15, 16:04",0,6683,RT New Listing BKEX will list DRYCAKE Trading pair DRYCAKE USDT Trading time 20 00 on Mar 29 UTC 8,positive,0.13636363636363635,0.45454545454545453
3081,"2021-04-15, 16:04",1,0,The current price of bitcoin is 62 556 00 It has decreased by 0 592 in the last 24 hours bitcoin btc cryptocurrency,negative,-0.13333333333333333,0.3888888888888889
