,time,close,volume
0,"2021-04-19, 10:04",56553.0,4.9753398
1,"2021-04-19, 10:03",56574.0,11.87551275
2,"2021-04-19, 10:02",56666.636456,1.55966913
3,"2021-04-19, 10:01",56694.0,2.27102239
4,"2021-04-19, 10:00",56779.15592889,1.86280114
5,"2021-04-19, 09:59",56717.0,2.11947111
6,"2021-04-19, 09:58",56790.82169928,1.64546746
7,"2021-04-19, 09:57",56762.0,5.08868864
8,"2021-04-19, 09:56",56680.0,5.05213559
9,"2021-04-19, 09:55",56757.0,7.96422919
10,"2021-04-19, 09:54",56752.0,2.50329023
11,"2021-04-19, 09:53",56799.0,2.39484498
12,"2021-04-19, 09:52",56769.0,2.32509
13,"2021-04-19, 09:51",56811.0,3.21468465
14,"2021-04-19, 09:50",56874.4793113,5.04658575
15,"2021-04-19, 09:49",56863.0,5.65609236
16,"2021-04-19, 09:48",56840.0,4.56338873
17,"2021-04-19, 09:47",56869.0,9.27040242
18,"2021-04-19, 09:46",56901.0,0.71924419
19,"2021-04-19, 09:45",56929.0,1.43952705
20,"2021-04-19, 09:44",57002.0,0.25423344
21,"2021-04-19, 09:43",56998.0,0.26022212
22,"2021-04-19, 09:42",57022.0,0.45389422
23,"2021-04-19, 09:41",57000.0,0.16229471
24,"2021-04-19, 09:40",57011.0,0.009749
25,"2021-04-19, 09:39",57017.0,0.16781257
26,"2021-04-19, 09:38",57051.0,4.72376166
27,"2021-04-19, 09:37",57098.0,7.60228936
28,"2021-04-19, 09:36",57056.0,0.55521513
29,"2021-04-19, 09:35",57055.0,13.12046147
30,"2021-04-19, 09:34",57006.0,2.28352764
31,"2021-04-19, 09:33",57013.0,2.72841687
32,"2021-04-19, 09:32",57014.0,5.3963649
33,"2021-04-19, 09:31",56936.0,0.72358571
34,"2021-04-19, 09:30",56942.71592428,1.96244396
35,"2021-04-19, 09:29",56798.0,0.07858298
36,"2021-04-19, 09:28",56812.0,1.02492677
37,"2021-04-19, 09:27",56792.0,5.58332995
38,"2021-04-19, 09:26",56820.0,2.84491252
39,"2021-04-19, 09:25",56844.0,0.74364789
40,"2021-04-19, 09:24",56805.0,4.51937177
41,"2021-04-19, 09:23",56822.0,0.12544738
42,"2021-04-19, 09:22",56778.0,3.04755555
43,"2021-04-19, 09:21",56746.0,3.17803935
