,time,open,close,high,low,volume
0,2021-04-19 10:04:00,56572.0,56553.0,56628.0,56552.0,4.9753398
1,2021-04-19 10:03:00,56666.0,56574.0,56666.0,56551.6492938,11.87551275
2,2021-04-19 10:02:00,56694.0,56666.636456,56701.0,56666.0,1.55966913
3,2021-04-19 10:01:00,56778.0,56694.0,56778.0,56694.0,2.2710223899999997
4,2021-04-19 10:00:00,56719.0,56779.15592889,56808.65703384,56719.0,1.86280114
5,2021-04-19 09:59:00,56791.0,56717.0,56812.0,56695.36225408,2.11947111
6,2021-04-19 09:58:00,56731.0,56790.82169928,56790.82169928,56709.0,1.64546746
7,2021-04-19 09:57:00,56680.0,56762.0,56774.0,56680.0,5.08868864
8,2021-04-19 09:56:00,56786.0,56680.0,56808.0,56680.0,5.05213559
9,2021-04-19 09:55:00,56752.0,56757.0,56757.0,56715.63018607,7.96422919
10,2021-04-19 09:54:00,56800.0,56752.0,56804.0,56752.0,2.50329023
11,2021-04-19 09:53:00,56769.31236,56799.0,56812.0,56761.0,2.39484498
12,2021-04-19 09:52:00,56811.0,56769.0,56811.0,56768.3725576,2.32509
13,2021-04-19 09:51:00,56874.4793113,56811.0,56874.4793113,56811.0,3.21468465
14,2021-04-19 09:50:00,56827.0,56874.4793113,56901.0,56823.0,5.04658575
15,2021-04-19 09:49:00,56847.0608055,56863.0,56880.0,56818.19541624,5.65609236
16,2021-04-19 09:48:00,56894.0,56840.0,56902.0,56799.0,4.56338873
17,2021-04-19 09:47:00,56902.0,56869.0,56950.0,56850.0,9.27040242
18,2021-04-19 09:46:00,56929.0,56901.0,56929.0,56901.0,0.71924419
19,2021-04-19 09:45:00,57001.0,56929.0,57001.0,56929.0,1.4395270500000001
20,2021-04-19 09:44:00,56994.0,57002.0,57010.0,56994.0,0.25423344
21,2021-04-19 09:43:00,57014.0,56998.0,57014.0,56998.0,0.26022212
22,2021-04-19 09:42:00,57014.0,57022.0,57054.0,57013.0,0.45389422
23,2021-04-19 09:41:00,57008.0,57000.0,57013.0,56988.824609,0.16229471
24,2021-04-19 09:40:00,57014.0,57011.0,57014.0,57011.0,0.009749
25,2021-04-19 09:39:00,57057.0,57017.0,57057.0,57017.0,0.16781257
26,2021-04-19 09:38:00,57091.0,57051.0,57091.0,57032.0,4.72376166
27,2021-04-19 09:37:00,57056.79131663,57098.0,57142.0,57056.0,7.60228936
28,2021-04-19 09:36:00,57049.0,57056.0,57056.0,57027.0,0.55521513
29,2021-04-19 09:35:00,57014.22059986,57055.0,57055.0,57014.22059986,13.12046147
30,2021-04-19 09:34:00,57003.0,57006.0,57008.0,56975.0,2.28352764
31,2021-04-19 09:33:00,57013.6673348,57013.0,57014.0,56995.0,2.72841687
32,2021-04-19 09:32:00,56934.29796032,57014.0,57014.0,56933.09539404,5.3963649
33,2021-04-19 09:31:00,56923.0,56936.0,56936.0,56889.80300796,0.72358571
34,2021-04-19 09:30:00,56838.717975,56942.71592428,56943.0,56838.717975,1.96244396
35,2021-04-19 09:29:00,56790.0,56798.0,56798.0,56786.0,0.07858298
36,2021-04-19 09:28:00,56785.0,56812.0,56817.0,56784.0,1.02492677
37,2021-04-19 09:27:00,56819.0,56792.0,56819.0,56755.0,5.5833299499999995
38,2021-04-19 09:26:00,56847.0,56820.0,56850.0,56818.361925,2.84491252
39,2021-04-19 09:25:00,56845.28987566,56844.0,56861.0,56807.82135952,0.74364789
40,2021-04-19 09:24:00,56803.0,56805.0,56865.55095,56803.0,4.51937177
