,open,close,high,low,volume,clean_tweet,sentiment,polarity,subjectivity,sentiment_score,price_difference,target
2837,63932.0,64060.0,64060.0,63927.0,11.91590975,RT Updating cryptocurrency prices on Wednesday April 14 2021 Bitcoin 1 95 Price 64 018 USD Ethereum,neutral,0.0,0.0,1,129.0,1
2838,64060.0,64087.0,64087.0,64028.0,3.47253525,RT Updating cryptocurrency prices on Wednesday April 14 2021 Bitcoin 1 95 Price 64 018 USD Ethereum,neutral,0.0,0.0,1,27.0,1
2839,64086.0,64093.0,64100.0,64086.0,0.71235337,RT Updating cryptocurrency prices on Wednesday April 14 2021 Bitcoin 1 95 Price 64 018 USD Ethereum,neutral,0.0,0.0,1,6.0,1
2840,64092.0,64048.0,64092.0,64033.0,0.44247246,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,-45.0,0
2841,64046.0,64033.0,64059.0,64033.0,1.11795775,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,-15.0,0
2842,64023.110026199996,64040.0,64048.0,64017.0,0.82316919,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,7.0,1
2843,64040.0,63955.0,64040.0,63931.91072667,0.57889391,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,-85.0,0
2844,63943.0,64000.0,64000.0,63941.0,0.96564283,New Bitcoin block 00 51b95fc2bcc51b97fe94d92debc0b318c333aac2b1b57 2648 transactions transferred a total of 6238,positive,0.06818181818181818,0.6022727272727273,2,45.0,1
2845,63993.0,63980.0475678,64000.0,63972.0,0.4871,New Bitcoin block 00 51b95fc2bcc51b97fe94d92debc0b318c333aac2b1b57 2648 transactions transferred a total of 6238,positive,0.06818181818181818,0.6022727272727273,2,-19.95243219999975,0
2846,63983.0,63940.0,63983.0,63919.0424184,1.51717131,New Bitcoin block 00 51b95fc2bcc51b97fe94d92debc0b318c333aac2b1b57 2648 transactions transferred a total of 6238,positive,0.06818181818181818,0.6022727272727273,2,-40.04756780000025,0
2847,63969.28195319999,63984.0,63984.0,63964.0,0.78708003,New Bitcoin block 00 51b95fc2bcc51b97fe94d92debc0b318c333aac2b1b57 2648 transactions transferred a total of 6238,positive,0.06818181818181818,0.6022727272727273,2,44.0,1
2848,63984.0,63999.0,64026.0,63984.0,1.32968158,New Bitcoin block 00 51b95fc2bcc51b97fe94d92debc0b318c333aac2b1b57 2648 transactions transferred a total of 6238,positive,0.06818181818181818,0.6022727272727273,2,15.0,1
2849,64000.0,64051.0,64075.0,64000.0,0.811082,Empty,neutral,0.0,0.0,1,52.0,1
2850,64048.6852038,64064.66014812,64075.0,64044.0,0.7587863,Empty,neutral,0.0,0.0,1,13.660148119997757,1
2851,64053.46763316,64048.0,64056.0,64035.0,0.27641175,Empty,neutral,0.0,0.0,1,-16.660148119997757,0
2852,64046.0,63986.51362212,64046.0,63983.0,0.44259309,Empty,neutral,0.0,0.0,1,-61.486377879999054,0
2853,64034.0,64044.244832000004,64046.0,64000.0,0.38898831,Empty,neutral,0.0,0.0,1,57.73120988000301,1
2854,64005.0,64046.0,64046.0,63955.0,1.78609143,Supercharge Your Balance Flexible Terms Maximum Returns No Lock Ins April 15 8 00 UTC June 17 8 0,neutral,0.0,0.0,1,1.755167999996047,1
2855,64047.0,64056.0,64089.0,64047.0,0.68249689,Supercharge Your Balance Flexible Terms Maximum Returns No Lock Ins April 15 8 00 UTC June 17 8 0,neutral,0.0,0.0,1,10.0,1
2856,64056.0,64095.0,64095.0,64056.0,3.28826959,Top 5 Cryptocurrencies Prices BTC 64 181 19 Bitcoin 0 11 ETH 2 363 48 Ethereum 0 38 BNB 571,positive,0.5,0.5,2,39.0,1
2857,64095.0,64209.0,64216.0,64095.0,13.34336609,Crypto prices 7 00 AM 4 14 21 Bitcoin BTC BTC Ethereum ETH Tether USDT,neutral,0.0,0.0,1,114.0,1
2858,64208.0,64330.0,64335.0,64201.0,10.34502424,Crypto prices 7 00 AM 4 14 21 Bitcoin BTC BTC Ethereum ETH Tether USDT,neutral,0.0,0.0,1,121.0,1
2859,64335.0,64351.0,64370.0,64305.0,6.921636599999999,The current price of bitcoin is 64 111 00 It has increased by 2 279 in the last 24 hours bitcoin btc cryptocurrency,neutral,0.0,0.2333333333333333,1,21.0,1
2860,64342.0,64367.0,64370.0,64330.0,11.70404317,RT Bitcoin SV Giveaway I will give 33 in BSV to 1 person in 8 hours Like Retweet amp Follow me BSV,neutral,0.0,0.0,1,16.0,1
2861,64368.0,64318.0,64368.0,64239.30918669,16.45426491,RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 Royal Challengers Bangalore 1 8 WINNER 2 Sunrisers H,neutral,0.0,0.0,1,-49.0,0
2862,64318.0,64261.0,64333.0,64250.0,1.91503305,RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 Royal Challengers Bangalore 1 8 WINNER 2 Sunrisers H,neutral,0.0,0.0,1,-57.0,0
2863,64261.0,64257.0,64271.0,64252.0,0.94097236,RT The Cricket is BACK 14 00 GMT IPL Place your bets now 1 Royal Challengers Bangalore 1 8 WINNER 2 Sunrisers H,neutral,0.0,0.0,1,-4.0,0
2864,64257.0,64312.0,64340.0,64257.0,11.51456753,Rise and shine Bitcoin cryptofriends time to push Ada and xrp over 2 00,neutral,0.0,0.0,1,55.0,1
2865,64319.0,64314.0,64333.0,64278.0,3.96148877,Rise and shine Bitcoin cryptofriends time to push Ada and xrp over 2 00,neutral,0.0,0.0,1,2.0,1
2866,64314.0,64310.0,64314.0,64261.0,2.97783842,RT Hal Finney sent this email only days after Bitcoin was created Mind you a coin had no value at the time A Bitcoin,neutral,0.0,1.0,1,-4.0,0
2867,64341.0,64369.0,64388.0,64341.0,1.1446465000000001,Bitcoin TODAY gets you 1554 satoshis for each 1 00 Keep stacking those SATS,neutral,0.0,0.0,1,59.0,1
2868,64369.0,64370.0,64399.0,64359.0,2.48218042,Bitcoin TODAY gets you 1554 satoshis for each 1 00 Keep stacking those SATS,neutral,0.0,0.0,1,1.0,1
2869,64369.0,64342.451755999995,64391.0,64320.0,5.38677811,RT on the 04 14 2021 at 03 01 1BTC was worth 63093 00 Bitcoin Crypto BotcoinUSD Bitfinex,positive,0.3,0.1,2,-27.54824400000507,0
2870,64349.0,64399.0,64399.0,64349.0,1.5615088,RT defi Are you ready Farms amp Staking will start in a few days However you can now buy BALL in our only pre sale Pre sale close a,neutral,0.0,0.5333333333333333,1,56.54824400000507,1
2871,64399.0,64388.0,64435.188037,64384.0,3.58538996,The current price of Bitcoin is 64394 00 The current price of BCash is 817 40 or 0 01269373 BTC The current pr,neutral,0.0,0.4000000000000001,1,-11.0,0
2872,64384.0,64311.0,64384.0,64304.0,1.34851312,The current price of Bitcoin is 64394 00 The current price of BCash is 817 40 or 0 01269373 BTC The current pr,neutral,0.0,0.4000000000000001,1,-77.0,0
2873,64304.0,64277.0,64332.0,64256.0,1.97571177,The current price of Bitcoin is 64394 00 The current price of BCash is 817 40 or 0 01269373 BTC The current pr,neutral,0.0,0.4000000000000001,1,-34.0,0
2874,64255.0,64227.0,64272.0,64216.0,0.32870225,The current price of Bitcoin is 64394 00 The current price of BCash is 817 40 or 0 01269373 BTC The current pr,neutral,0.0,0.4000000000000001,1,-50.0,0
2875,64246.64403414,64281.85181,64294.0,64246.64403414,0.8489196400000001,The current price of Bitcoin is 64394 00 The current price of BCash is 817 40 or 0 01269373 BTC The current pr,neutral,0.0,0.4000000000000001,1,54.851810000000114,1
2876,64282.0,64339.0,64339.0,64282.0,2.06184476,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,57.148189999999886,1
2877,64339.0,64311.0,64340.0,64290.0,3.96809642,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,-28.0,0
2878,64300.0,64334.0,64334.0,64283.0,3.57279806,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,23.0,1
2879,64339.0,64343.0,64344.0,64325.924498,1.49631518,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,9.0,1
2880,64342.0,64302.0,64344.0,64302.0,1.84297739,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,-41.0,0
2881,64306.0,64285.0,64338.0,64285.0,1.49669618,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,-17.0,0
2882,64300.0,64220.0,64300.0,64220.0,1.06550927,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,-65.0,0
2883,64220.631462,64194.0,64245.0,64177.0,1.2006355199999998,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,-26.0,0
2884,64190.0,64200.0,64219.0,64185.0,0.60539558,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,6.0,1
2885,64201.0,64249.0,64249.0,64199.0,4.35543898,RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum,positive,0.5,0.625,2,49.0,1
2886,64258.0,64269.0,64276.63275599999,64257.0,0.33307477,RT Risk Havens update Oil WTI undated 6124 1 68 Gold 1744 0 09 USDJPY 109 00 0 05 VIX Undated 20 03 0 05 Bit,neutral,0.0,0.0,1,20.0,1
2887,64269.0,64220.0,64269.0,64186.33442235,0.59458697,Wed Apr 14 13 30 46 2021 12 00 USD 64 318 06 Wght 245 384 Blk 679 176 Size 1 391 5 Txs 2 353 Pool 61 258 75 5 MB bitcoin,neutral,0.0,0.0,1,-49.0,0
2888,64211.0,64261.0,64264.0,64203.0,2.73003865,Wed Apr 14 13 30 46 2021 12 00 USD 64 318 06 Wght 245 384 Blk 679 176 Size 1 391 5 Txs 2 353 Pool 61 258 75 5 MB bitcoin,neutral,0.0,0.0,1,41.0,1
2889,64267.0,64250.0,64296.16950463,64224.0,2.08725487,Wed Apr 14 13 30 46 2021 12 00 USD 64 318 06 Wght 245 384 Blk 679 176 Size 1 391 5 Txs 2 353 Pool 61 258 75 5 MB bitcoin,neutral,0.0,0.0,1,-11.0,0
2890,64263.0,64248.438897,64263.0,64248.0,1.03225547,Wed Apr 14 13 30 46 2021 12 00 USD 64 318 06 Wght 245 384 Blk 679 176 Size 1 391 5 Txs 2 353 Pool 61 258 75 5 MB bitcoin,neutral,0.0,0.0,1,-1.5611030000000028,0
2891,64249.0,64383.0,64383.0,64249.0,4.28277959,Wed Apr 14 13 30 46 2021 12 00 USD 64 318 06 Wght 245 384 Blk 679 176 Size 1 391 5 Txs 2 353 Pool 61 258 75 5 MB bitcoin,neutral,0.0,0.0,1,134.561103,1
2892,64386.0,64471.0,64500.0,64386.0,8.35749453,The BTC price is at 64499 00 right now Compared to the last tweet the price has increased by 111 32 0 17,positive,0.14285714285714285,0.3011904761904762,2,88.0,1
2893,64471.0,64490.0,64495.0,64447.0,1.05675775,RT The BTC price is at 64499 00 right now Compared to the last tweet the price has increased by 111 32 0 17 In,positive,0.14285714285714285,0.3011904761904762,2,19.0,1
2894,64496.0,64411.0,64507.0,64411.0,4.50778848,RT The BTC price is at 64499 00 right now Compared to the last tweet the price has increased by 111 32 0 17 In,positive,0.14285714285714285,0.3011904761904762,2,-79.0,0
2895,64412.0,64400.858271000005,64429.0,64385.0,0.5400188,RT Bitcoin SV Giveaway I will give 33 in BSV to 1 person in 8 hours Like Retweet amp Follow me BSV,neutral,0.0,0.0,1,-10.141728999995394,0
2896,64400.0,64444.0,64444.0,64372.0,1.19611317,RT with crypto moving NAKD is going to see some action at some point they accept bitcoin at least PR says so,negative,-0.1,0.25,0,43.141728999995394,1
2897,64450.0,64582.0,64582.0,64450.0,8.93877212,RT with crypto moving NAKD is going to see some action at some point they accept bitcoin at least PR says so,negative,-0.1,0.25,0,138.0,1
2898,64582.0,64632.0,64638.0,64582.0,9.17447949,RT with crypto moving NAKD is going to see some action at some point they accept bitcoin at least PR says so,negative,-0.1,0.25,0,50.0,1
2899,64633.0,64701.0,64727.0,64632.0,9.47457743,RT with crypto moving NAKD is going to see some action at some point they accept bitcoin at least PR says so,negative,-0.1,0.25,0,69.0,1
2900,64701.0,64597.0,64701.0,64597.0,13.99981623,RT with crypto moving NAKD is going to see some action at some point they accept bitcoin at least PR says so,negative,-0.1,0.25,0,-104.0,0
2901,64597.0,64535.0,64597.0,64500.0,2.86051109,Empty,neutral,0.0,0.0,1,-62.0,0
2902,64529.0,64548.0,64625.0,64529.0,2.87688061,Empty,neutral,0.0,0.0,1,13.0,1
2903,64546.0,64582.0,64607.0,64541.0,2.60564723,Empty,neutral,0.0,0.0,1,34.0,1
2904,64562.0,64562.0,64583.0,64562.0,1.34188847,Empty,neutral,0.0,0.0,1,-20.0,0
2905,64550.0,64521.0,64550.0,64521.0,0.8353849400000001,Empty,neutral,0.0,0.0,1,-41.0,0
2906,64520.0,64493.0,64520.0,64461.0,8.53171891,Empty,neutral,0.0,0.0,1,-28.0,0
2907,64512.0,64537.0,64560.0,64512.0,0.66612753,Empty,neutral,0.0,0.0,1,44.0,1
2908,64513.0,64510.0,64541.0,64510.0,1.41026379,Empty,neutral,0.0,0.0,1,-27.0,0
2909,64485.0,64510.36417865,64516.0,64485.0,0.14947364,RT 500 to someone who retweets this and follows in 5 days giveaway bitcoin doge dogecoin dogetothemoon,neutral,0.0,0.0,1,0.36417865000112215,1
2910,64497.54003168,64512.0,64529.0,64486.0,3.0235912,RT 500 to someone who retweets this and follows in 5 days giveaway bitcoin doge dogecoin dogetothemoon,neutral,0.0,0.0,1,1.6358213499988778,1
2911,64517.0,64511.0,64533.0,64473.0,4.1095733999999995,This is still the first move IOST IOST it s still very cheep 2 hours later IOST 0 08 Today 1 00,positive,0.15,0.2111111111111111,2,-1.0,0
2912,64509.0,64478.0,64509.0,64478.0,0.49115827,This is still the first move IOST IOST it s still very cheep 2 hours later IOST 0 08 Today 1 00,positive,0.15,0.2111111111111111,2,-33.0,0
2913,64478.0,64461.67352688,64508.0,64454.07626958,2.02628754,RT 100 Roobet balance Giveaway To enter Follow me amp Retweet Tag Some friends Ends in 48 hours giveaway GiveawayAl,neutral,0.0,0.0,1,-16.326473120003357,0
2914,64466.46017049,64451.0,64489.0,64427.0,5.09588977,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,-10.673526879996643,0
2915,64461.0,64491.0,64511.8866336,64461.0,3.35507129,RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,neutral,0.0,0.0,1,40.0,1
2916,64498.0,64576.0,64631.0,64374.0,46.77644163,I m discussing Crypto Insider NFT DeFi Bitclout Bitcoin Rus Eng with Today Apr 14 at 10,neutral,0.0,0.0,1,85.0,1
2917,64560.90419016,64401.0,64560.90419016,64401.0,0.49281963,RT 250 T2L presale celebration Giveaway RT this amp RT s pinned tweet amp follow us Ends 48hours Visit websi,neutral,0.0,0.0,1,-175.0,0
